Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2020,Jawa Barat,Kab. Pangandaran,,,,,,,
2020,Jawa Barat,Kota Bogor,262.5,0.03,20.5,1.1,4.2,2.8,208
2020,Jawa Barat,Kota Sukabumi,168.16,1.6,6.3,2,0.61,,
2020,Jawa Barat,Kota Depok,156.2,7.4,104.2,29.8,409.2,22.3,14.9
2020,Jawa Barat,Kota Cimahi,,,,,,,
2020,Jawa Barat,Kota Tasikmalaya,,,,,,,
2020,Jawa Barat,Kota Banjar,60.98,2.25,8.17,9.3,1.95,1.09,0
2020,Jawa Tengah,Kab. Cilacap,724.6,0.48,44.61,0.17,8.89,6.1,6.12
2020,Jawa Tengah,Kab. Kebumen,40,7,4,3,8,3,4
2020,Jawa Tengah,Kab. Purworejo,92.96,0.02,0.34,0.02,0.58,,
2020,Jawa Tengah,Kab. Wonosobo,,,20520,6.4,,,
2020,Jawa Tengah,Kab. Magelang,,,,,,,
2020,Jawa Tengah,Kab. Boyolali,,,,,,,
2020,Jawa Tengah,Kab. Klaten,353.55,2.75,2.04,1.4,2.4,6.4,
2020,Jawa Tengah,Kab. Sukoharjo,184.54,3.22,15.51,11.65,17.74,130.23,5.89
2020,Jawa Tengah,Kab. Wonogiri,,,,,,,
2020,Jawa Tengah,Kab. Sragen,127.9,43.6,121.3,26.74,154.35,57.69,2.73
2020,Jawa Tengah,Kab. Blora,,,,,,,
2020,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152,,11.86
2020,Jawa Tengah,Kab. Pati,,,,,,,
2020,Jawa Tengah,Kab. Kudus,,,,,,,
2020,Jawa Tengah,Kab. Jepara,89046.4,20353.5,63604.6,25441.8,33074.4,12720.9,10176.7
2020,Jawa Tengah,Kab. Semarang,32.5,23.3,28.2,,,6.2,2
2020,Jawa Tengah,Kab. Temanggung,55,4,15.43,6,10,9,11
2020,Jawa Tengah,Kab. Kendal,0,0.05,0.57,0.01,0.04,0.37,0.39
2020,Jawa Tengah,Kab. Batang,,,,,,,
2020,Jawa Tengah,Kab. Pemalang,176,23,56,48,28,57,3.7
2020,Jawa Tengah,Kab. Tegal,727.5,53.21,128,30.2,14.5,54.6,10
2020,Jawa Tengah,Kab. Brebes,25,3,40,5,5,11,11
2020,Jawa Tengah,Kota Magelang,,,,,,,
2020,Jawa Tengah,Kota Salatiga,,,,,,,
2020,Jawa Tengah,Kota Semarang,362,7.5,321.8,15.6,66,84.3,388.8
2020,D.I. Yogyakarta,Kab. Kulon Progo,0.43,,0.23,,,,
2020,D.I. Yogyakarta,Kab. Bantul,404.43,9.85,30.39,47.8,0.9,8.21,25.39
2020,D.I. Yogyakarta,Kab. Gunungkidul,,,,,,,
2020,D.I. Yogyakarta,Kab. Sleman,,,,,,,
2020,D.I. Yogyakarta,Kota Yogyakarta,199.06,2.35,34.63,79.82,41.66,1.17,2.1
2020,Jawa Timur,Kab. Pacitan,12.9,,15.1,1.3,0.9,1.6,1.2
2020,Jawa Timur,Kab. Ponorogo,,,,,,,
2020,Jawa Timur,Kab. Trenggalek,,,,,,,
2020,Jawa Timur,Kab. Tulungagung,51.39,0.16,16.82,7.96,4.08,12.81,0.56
2020,Jawa Timur,Kab. Blitar,,,,,,,
2020,Jawa Timur,Kab. Kediri,,,,,,,
2020,Jawa Timur,Kab. Malang,891.57,19.17,119.25,25.86,29.64,20.06,8.92
2020,Jawa Timur,Kab. Lumajang,175.51,0.53,129.89,4.76,142.98,17.49,30.31
2020,Jawa Timur,Kab. Banyuwangi,19511.24,0.02,5.55,0.01,0.01,,
2020,Jawa Timur,Kab. Bondowoso,19.44,3.25,14.61,0.61,4.22,1.36,
2020,Jawa Timur,Kab. Situbondo,,,,,,,
2020,Jawa Timur,Kab. Probolinggo,18.6,1,15,5.7,3.6,5.2,2.6
2020,Jawa Timur,Kab. Pasuruan,,,,,,,
2020,Jawa Timur,Kab. Sidoarjo,99999.99,3964.8,55506.8,27753.4,7929.5,39647.7,99999.99
2020,Jawa Timur,Kab. Jombang,,,,,,,
2020,Jawa Timur,Kab. Nganjuk,54.19,1.23,8.86,1.63,32.69,0.69,0.71
2020,Jawa Timur,Kab. Madiun,8.88,4.42,98.19,5.4,107.15,7.57,42.84
2020,Jawa Timur,Kab. Magetan,,,,,,,
2020,Jawa Timur,Kab. Ngawi,,,,,,,
2020,Jawa Timur,Kab. Bojonegoro,,,2.47,0.01,0.45,,
2020,Jawa Timur,Kab. Tuban,354,12,39,15,24,18,30
2020,Jawa Timur,Kab. Gresik,99999.99,100,3.4,2,5,20,20
2020,Jawa Timur,Kab. Sampang,99999.99,12154.95,36464.85,24309.9,7292.97,,17016.93
2020,Jawa Timur,Kab. Pamekasan,,,,,,,
2020,Jawa Timur,Kab. Sumenep,,,,,,,
2020,Jawa Timur,Kota Kediri,,,,,,,
2020,Jawa Timur,Kota Blitar,67.47,0.7,2.1,1.4,1.1,0.4,1.4
2020,Jawa Timur,Kota Malang,,,,,,,
2020,Jawa Timur,Kota Probolinggo,48.47,0.43,12.38,2.98,1.03,1.78,0.63
2020,Jawa Timur,Kota Pasuruan,76.14,0.66,19.69,1.31,16.41,6.56,10.5
2020,Jawa Timur,Kota Mojokerto,77.5,4.5,7.5,3.9,2.1,4.5,
2020,Jawa Timur,Kota Madiun,85.84,5.16,9.41,4.78,4.61,3.17,2.03
2020,Jawa Timur,Kota Surabaya,,,,,,,
2020,Banten,Kab. Pandeglang,,,,,,,
2020,Banten,Kab. Lebak,1.3,119.8,8,50.3,134.2,131.3,69.3
2020,Banten,Kab. Serang,,,,,,,
2020,Banten,Kota Cilegon,,,,,,,
2020,Banten,Kota Serang,,,,,,,
2020,Banten,Kota Tangerang Selatan,,,,,,,
2020,Bali,Kab. Jembrana,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2020,Bali,Kab. Tabanan,,,530,,,,
2020,Bali,Kab. Badung,,,,,,,
2020,Bali,Kab. Gianyar,398.71,4.61,16.15,,7.17,48.96,2.08
2020,Bali,Kab. Bangli,86.14,1.02,5.94,0.3,4.12,2.38,0.1
2020,Bali,Kab. Karangasem,14.92,1.2,5.5,2.07,35.06,,60
2020,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.58,0.39
2020,Bali,Kota Denpasar,,,,,,,
2020,Nusa Tenggara Barat,Kab. Lombok Timur,90.24,0.15,15,3,10.73,0.47,21
2020,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,
2020,Nusa Tenggara Timur,Kab. Sumba Tengah,10,0.51,7.44,1.54,3.08,0.26,2.82
2020,Kalimantan Barat,Kab. Sambas,235.97,0.9,37.6,,,,
2020,Kalimantan Barat,Kab. Mempawah,3.92,8.27,27.35,8.58,8.72,11.37,2.63
2020,Kalimantan Barat,Kab. Sanggau,230.28,0.26,0.16,8.03,,,
2020,Kalimantan Barat,Kab. Ketapang,41,6,20,15,5,8,5
2020,Kalimantan Barat,Kab. Bengkayang,,,,,,,
2020,Kalimantan Barat,Kab. Melawi,,,,,,,
2020,Kalimantan Barat,Kota Pontianak,99999.99,450.63,27136.66,11279.95,1098.42,,211.24
2020,Kalimantan Barat,Kota Singkawang,2.06,0.21,1.5,1.3,8.52,0.29,0.08
2020,Kalimantan Tengah,Kab. Kotawaringin Barat,12,6,6,7,7,10,5
2020,Kalimantan Tengah,Kab. Kotawaringin Timur,,,,,,,
2020,Kalimantan Tengah,Kab. Kapuas,9.52,0.68,3.03,,0.68,,1.65
2020,Kalimantan Tengah,Kab. Barito Utara,32.5,5.2,24,2,1.5,2,1.5
2020,Kalimantan Tengah,Kab. Sukamara,,,,,,,
2020,Kalimantan Tengah,Kab. Barito Timur,5.94,,4.5,,1.4,0.5,0.7
2020,Kalimantan Tengah,Kota Palangkaraya,149.45,88.4,40,20.84,1,,45.39
2020,Kalimantan Selatan,Kab. Kotabaru,,,5.6,,,,
2020,Kalimantan Selatan,Kab. Barito Kuala,37.5,9.3,19,10.5,8,4,5
2020,Kalimantan Selatan,Kab. Tapin,61.02,1.93,6.04,2.19,2.7,2.09,1.38
2020,Kalimantan Selatan,Kab. Hulu Sungai Selatan,42.31,0.79,34.08,5.69,4.71,3.6,1.88
2020,Kalimantan Selatan,Kab. Hulu Sungai Tengah,12.15,1.8,7.05,2.5,2.75,7.75,1.25
2020,Kalimantan Selatan,Kab. Hulu Sungai Utara,2.9,0.3,22.6,1,5.45,0.5,2.53
2020,Kalimantan Selatan,Kab. Tabalong,,,,,,,
2020,Kalimantan Selatan,Kab. Tanah Bumbu,120,4,50,,2,2,2
2020,Kalimantan Selatan,Kab. Balangan,26.64,5.12,9.86,6.68,2.7,3.86,1.28
2020,Kalimantan Selatan,Kota Banjarmasin,332.48,3.55,76.68,26.49,56.32,10.64,0.3
2020,Kalimantan Selatan,Kota Banjarbaru,124.15,0.4,2,1.76,4.33,14.48,
2020,Kalimantan Timur,Kab. Paser,91.69,2.29,10.31,5.73,2.29,2.29,
2020,Kalimantan Timur,Kab. Kutai Kartanegara,58.47,8.18,1.08,5.51,52.6,84.81,0.9
2020,Kalimantan Timur,Kab. Kutai Timur,83,2,6,2,2,4,1
2020,Kalimantan Timur,Kab. Penajam Paser Utara,13,2,5,2.5,2,1.5,2
2020,Kalimantan Timur,Kota Balikpapan,336.66,9.02,29.66,42.03,21.9,6.28,19.39
2020,Kalimantan Timur,Kota Samarinda,,,,,,,
2020,Kalimantan Timur,Kota Bontang,82.2,5.06,5.91,,3.03,6.8,0.48
2020,Kalimantan Utara,Kab. Nunukan,0,0,0,0,0,0,0
2020,Kalimantan Utara,Kota Tarakan,99.36,4.14,24.84,2.07,6.9,0.69,37.13
2020,Sulawesi Utara,Kab. Minahasa,,,,,,,
2020,Sulawesi Utara,Kab. Kepulauan Sangihe,25,8,8,9,12,,9
2020,Sulawesi Utara,Kab. Kepulauan Talaud,,,,,,,
2020,Sulawesi Utara,Kab. Minahasa Selatan,,,,,,,
2020,Sulawesi Utara,Kab. Minahasa Utara,49846,6230,24923,7788,4158,9346,1557
2020,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2020,Sulawesi Utara,Kab. Bolaang Mongondow Utara,,,,,,,
2020,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,,,,
2020,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,,,,,,,
2020,Sulawesi Utara,Kota Manado,,,,,,,
2020,Sulawesi Utara,Kota Bitung,,,,,,,
2020,Sulawesi Utara,Kota Tomohon,,,,,,,
2020,Sulawesi Utara,Kota Kotamobagu,45.35,6.15,15.9,7.2,6.45,,5.4
2020,Sulawesi Tengah,Kab. Banggai,,,,,,,
2020,Sulawesi Tengah,Kab. Poso,15.2,1.28,3.16,0.72,0.94,0.63,0.3
2020,Sulawesi Tengah,Kab. Donggala,3,0.5,2,1.5,1.69,1,1
2020,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2020,Sulawesi Tengah,Kota Palu,36.21,0.16,12.6,3.17,0.56,5.73,0.08
2020,Sulawesi Selatan,Kab. Kepulauan Selayar,33,5.5,16,7.1,4.6,2,
2020,Sulawesi Selatan,Kab. Bulukumba,4,0,1550,0.05,0.75,,0.08
2020,Sulawesi Selatan,Kab. Bantaeng,22.86,0.88,1.7,1.73,0.1,,2
2020,Sulawesi Selatan,Kab. Bone,189.8,33.9,73.6,29,22.6,16.2,11.3
2020,Sulawesi Selatan,Kab. Maros,75.2,9,30.21,2,8,,33
2020,Sulawesi Selatan,Kab. Pangkajene Kepulauan,,,,,,,
2020,Sulawesi Selatan,Kab. Barru,44.4,7.4,4.4,2.2,4.4,7.4,3.7
2020,Sulawesi Selatan,Kab. Soppeng,,,,,,,
2020,Sulawesi Selatan,Kab. Wajo,28.27,0.71,8.05,1.67,0.32,0.3,19.08
2020,Sulawesi Selatan,Kab. Sidenreng Rappang,92.25,3.54,6.7,3.19,6.47,1.96,8.65
2020,Sulawesi Selatan,Kab. Enrekang,,,,,,,
2020,Sulawesi Selatan,Kab. Luwu,132.15,0.15,12.67,0.81,1.57,0.99,0.12
2020,Sulawesi Selatan,Kab. Luwu Utara,,,,,,,
2020,Sulawesi Selatan,Kab. Luwu Timur,16,4,8,4,2,2,6
2020,Sulawesi Selatan,Kota Makassar,,,,,,,
2020,Sulawesi Selatan,Kota Pare Pare,32.3,5.4,14.1,7.9,3.2,7.7,2
2020,Sulawesi Selatan,Kota Palopo,10,0.09,15,3,2,3,3
2020,Sulawesi Tenggara,Kab. Kolaka,102.17,3.14,20.43,7.86,15.72,1.57,6.29
2020,Sulawesi Tenggara,Kab. Konawe,,,,,,,
2020,Sulawesi Tenggara,Kab. Buton,,,,,,,
2020,Sulawesi Tenggara,Kab. Bombana,,,6,,2,1,1
2020,Sulawesi Tenggara,Kab. Kolaka Utara,,,,,,,
2020,Gorontalo,Kab. Gorontalo,4.6,0.4,0.2,0.4,0.8,0.7,0.7
2020,Gorontalo,Kab. Pohuwato,6.4,1.1,3.3,1.2,0.9,0.5,1.5
2020,Gorontalo,Kota Gorontalo,26,17,10,10,5,2,0.03
2020,Sulawesi Barat,Kab. Pasangkayu,1.2,0.2,0.9,,0.7,,9
2020,Sulawesi Barat,Kab. Mamuju,,3.35,57.6,,,,
2020,Sulawesi Barat,Kab. Polewali Mandar,110.23,5.46,12.86,8.93,19.88,14.5,7.14
2020,Maluku,Kab. Buru Selatan,4.16,0.41,2.51,9.92,1.42,,1.05
2020,Maluku,Kota Ambon,53.07,10.21,40.82,27.78,20.49,6.67,4.16
2020,Maluku Utara,Kab. Halmahera Utara,147.9,9.2,12.6,5,8,2.5,0.01
2020,Maluku Utara,Kab. Pulau Morotai,,,,,,,
2020,Maluku Utara,Kota Ternate,27.2,2.7,8.4,5.2,2.9,1.9,5.4
2020,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.06,5.47,1.82
2020,Papua,Kab. Biak Numfor,27.47,3.64,9.75,3.08,3.57,6.62,
2020,Papua,Kab. Keerom,15,15,25,15,10,10,10
2020,Papua,Kab. Asmat,28,3,4.4,2.73,1.27,3.62,1.02
2020,Papua,Kota Jayapura,165.15,46.1,23.21,9.61,6.7,2.5,
2020,Papua Barat,Kab. Manokwari,128.35,,19.8,4.4,4.12,,
2020,Papua Barat,Kab. Sorong Selatan,,,,,,,
2020,Papua Barat,Kab. Raja Ampat,0,0,0,0,0,,
2019,Aceh,Kab. Aceh Selatan,19,1,2.1,1.4,8,2.2,1.3
2019,Aceh,Kab. Aceh Tengah,14520,5000,16030,11322,10230,11320,29165
2019,Aceh,Kab. Simeulue,26.37,4.4,5.71,3.52,2.2,0.44,1.32
2019,Aceh,Kab. Gayo Lues,38,3,16,7,5,16,15
2019,Aceh,Kab. Bener Meriah,,,,,,,
2019,Aceh,Kota Banda Aceh,182.57,0.55,8.85,44.31,2.27,0,0.05
2019,Aceh,Kota Sabang,1.06,0.02,0.03,0.03,0.36,0.03,0.32
2019,Aceh,Kota Langsa,11.4,1,16,12,6,2,
2019,Sumatera Utara,Kab. Langkat,8,5.4,5.4,6,3.9,1.9,2.8
2019,Sumatera Utara,Kab. Deli Serdang,,,,,,,
2019,Sumatera Utara,Kab. Asahan,364.9,2.68,3.53,77.36,13.14,6.96,151.91
2019,Sumatera Utara,Kab. Dairi,2.26,0.12,2.64,0,0.55,0.36,0
2019,Sumatera Utara,Kab. Humbang Hasundutan,10,0.5,1,,1.45,,2.5
2019,Sumatera Utara,Kab. Samosir,10,1,2,3,1,5,2
2019,Sumatera Utara,Kota Medan,,,,,,,
2019,Sumatera Utara,Kota Pematang Siantar,,,,,,,
2019,Sumatera Utara,Kota Tebing Tinggi,,,,,,,
2019,Sumatera Barat,Kab. Pesisir Selatan,82.5,14,24.7,1,13,3,
2019,Sumatera Barat,Kab. Sijunjung,13.6,8.4,9.6,1.2,1,0.6,
2019,Sumatera Barat,Kab. Tanah Datar,88.3,0.28,17.75,1.54,12.27,,
2019,Sumatera Barat,Kab. Agam,,,,,,,
2019,Sumatera Barat,Kab. Pasaman,51.01,4.49,12.81,3.78,0.88,,13.6
2019,Sumatera Barat,Kab. Dharmasraya,82.13,2.29,0.62,,0.09,,11.2
2019,Sumatera Barat,Kota Padang,450,14.94,90,21.24,47.07,8,9
2019,Sumatera Barat,Kota Solok,29.26,1.27,15.78,0.44,1.28,0.06,1.62
2019,Sumatera Barat,Kota Sawahlunto,,,,,,,
2019,Sumatera Barat,Kota Padang Panjang,34.88,0.36,6.77,1.53,1.72,,0.96
2019,Sumatera Barat,Kota Bukittinggi,,,,,,,
2019,Sumatera Barat,Kota Payakumbuh,65.09,0.72,17.18,10.38,3.16,0.32,0.53
2019,Riau,Kab. Kampar,,,,,,,
2019,Riau,Kab. Pelalawan,,,,,,,
2019,Riau,Kab. Rokan Hilir,195,3.55,89,101.6,4.8,20,82.5
2019,Riau,Kab. Siak,17.4,4.5,7,2,4.3,2.8,1
2019,Riau,Kota Pekanbaru,,,,,,,
2019,Jambi,Kab. Merangin,20,5,11,5,4.27,3,2
2019,Jambi,Kab. Sarolangun,,,,,,,
2019,Jambi,Kab. Batanghari,74.85,1.2,29,3,2.5,2,8.3
2019,Jambi,Kab. Muaro Jambi,,,,,,,
2019,Jambi,Kab. Bungo,6.72,1.53,67.06,1.32,0.98,2.45,65.78
2019,Jambi,Kota Jambi,,,,,,,
2019,Jambi,Kota Sungai Penuh,,,,,,,
2019,Sumatera Selatan,Kab. Ogan Komering Ulu,,,,,,,
2019,Sumatera Selatan,Kab. Muara Enim,17.27,1.13,5.14,2.12,1.02,1.81,
2019,Sumatera Selatan,Kab. Lahat,95.1,20.8,95.1,38.6,17.8,17.9,18.1
2019,Sumatera Selatan,Kab. Musi Rawas,256.19,0.1,13.36,1.12,1.17,0.18,11.5
2019,Sumatera Selatan,Kab. Musi Banyuasin,143.05,12.77,20.44,25.55,12.77,17.88,22.99
2019,Sumatera Selatan,Kab. Empat Lawang,139.36,0.08,35,0.49,0.01,0.08,0.14
2019,Sumatera Selatan,Kota Palembang,697.2,5.9,81.4,34.5,107,23.1,235.3
2019,Sumatera Selatan,Kota Prabumulih,52.76,3.6,19.86,12.44,2.47,0.98,1.31
2019,Bengkulu,Kab. Bengkulu Selatan,14,2,2.5,2.4,1,1,2
2019,Bengkulu,Kab. Bengkulu Utara,44.1,9,19,7,6,2,13
2019,Bengkulu,Kab. Lebong,,,,,,,
2019,Bengkulu,Kab. Kepahiang,15,1,10,1.1,1,1,1.4
2019,Bengkulu,Kab. Bengkulu Tengah,33.89,6.93,10.38,3.46,2.59,,
2019,Lampung,Kab. Lampung Barat,6.3,1.8,3.2,1.82,1.3,,
2019,Lampung,Kab. Way Kanan,313.59,0.65,5.4,0.42,0.04,0,141.35
2019,Lampung,Kab. Pringsewu,6,0.6,4,1.5,1,0.5,1
2019,Lampung,Kota Bandar Lampung,410.1,68.3,102.5,20.5,41,13.7,27.3
2019,Lampung,Kota Metro,41,12.3,20.5,12.3,8.2,5.13,3.08
2019,Kepulauan Bangka Belitung,Kab. Bangka,79.04,6.37,16.57,8.92,3.82,5.1,7.65
2019,Kepulauan Bangka Belitung,Kab. Bangka Selatan,59,2.46,5.5,2.87,9.28,6.21,0.36
2019,Kepulauan Bangka Belitung,Kab. Bangka Tengah,28.6,2.57,17.78,16.55,12.07,0.06,0.79
2019,Kepulauan Bangka Belitung,Kota Pangkal Pinang,,,,,,,
2019,Kepulauan Riau,Kab. Bintan,17.95,5.13,10.26,7.69,5.1,2.6,2.56
2019,Kepulauan Riau,Kab. Karimun,70.1,5.3,17.5,5.3,28.1,20.1,29
2019,Kepulauan Riau,Kab. Natuna,,,,,,,
2019,Kepulauan Riau,Kab. Lingga,16.2,0.1,0.7,5.1,3.9,1.2,0.2
2019,Kepulauan Riau,Kab. Kepulauan Anambas,,,,,,,
2019,Kepulauan Riau,Kota Batam,762.79,154.82,2.27,55.69,4.13,325.82,27
2019,Kepulauan Riau,Kota Tanjung Pinang,13.4,4.6,12,6.4,7.9,6.8,1.2
2019,DKI Jakarta,Kab. Adm. Kep. Seribu,20.7,,,,,,11.6
2019,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2019,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2019,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2019,Jawa Barat,Kab. Sukabumi,162.7,149.56,152.84,478.25,146.42,305.69,98.61
2019,Jawa Barat,Kab. Bandung,,,,,,,
2019,Jawa Barat,Kab. Ciamis,277.99,22.69,93.61,96.44,28.37,25.53,22.69
2019,Jawa Barat,Kab. Sumedang,235,5,100,20,20,25,33
2019,Jawa Barat,Kab. Subang,,,,,,,
2019,Jawa Barat,Kab. Bekasi,,,,,,,
2019,Jawa Barat,Kab. Pangandaran,,,,,,,
2019,Jawa Barat,Kota Bogor,262.5,0.3,23.4,1.5,4.4,2.8,212.1
2019,Jawa Barat,Kota Sukabumi,153.31,3.01,5.62,2.95,12.48,0.59,
2019,Jawa Barat,Kota Depok,156.2,7.4,104.2,29.8,409.2,22.3,14.9
2019,Jawa Barat,Kota Cimahi,,,,,,,
2019,Jawa Barat,Kota Tasikmalaya,,,,,,,
2019,Jawa Tengah,Kab. Cilacap,724.6,0.48,44.61,0.17,8.89,6.1,
2019,Jawa Tengah,Kab. Kebumen,37,8,5,3,9,3,4
2019,Jawa Tengah,Kab. Purworejo,93.67,0.04,0.8,0.03,0.99,,
2019,Jawa Tengah,Kab. Wonosobo,99999.99,0.6,26,6.8,12.3,,
2019,Jawa Tengah,Kab. Boyolali,264.5,,,,,,
2019,Jawa Tengah,Kab. Klaten,352.5,2.75,2.04,1.42,2.38,6.39,
2019,Jawa Tengah,Kab. Sukoharjo,174.54,2.52,15.51,7.94,18.74,141.23,5.37
2019,Jawa Tengah,Kab. Wonogiri,,,,,,,
2019,Jawa Tengah,Kab. Sragen,124.8,43.6,121.3,23.5,28.3,57.69,3.24
2019,Jawa Tengah,Kab. Grobogan,520.7,42,109.2,58.8,25.2,33.6,50.4
2019,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152,,11.86
2019,Jawa Tengah,Kab. Pati,,,,,,,
2019,Jawa Tengah,Kab. Kudus,,,,,,,
2019,Jawa Tengah,Kab. Jepara,50214.44,25107.22,75321.66,32639.39,37660.83,20085.78,10042.89
2019,Jawa Tengah,Kab. Semarang,26.4,15,22.2,,,4.8,
2019,Jawa Tengah,Kab. Kendal,0,0.04,0.47,0,0.03,0.27,0.29
2019,Jawa Tengah,Kab. Batang,,,,,,,
2019,Jawa Tengah,Kab. Pemalang,172,21,60,48,26,58,5.84
2019,Jawa Tengah,Kab. Brebes,1,1,10,1,1,1,1
2019,Jawa Tengah,Kota Magelang,0,0,0,0,0,0,0
2019,Jawa Tengah,Kota Semarang,361.96,7.5,321.78,15.6,66.03,84.28,332.84
2019,D.I. Yogyakarta,Kab. Kulon Progo,0.43,0,0.23,0,,,
2019,D.I. Yogyakarta,Kab. Bantul,253.8,2.9,26,117.7,29.4,1.9,10.3
2019,D.I. Yogyakarta,Kab. Gunungkidul,,,,,,,
2019,D.I. Yogyakarta,Kab. Sleman,,,,,,,
2019,D.I. Yogyakarta,Kota Yogyakarta,199.7,2.35,34.75,80.08,41.79,1.18,2.11
2019,Jawa Timur,Kab. Pacitan,9.5,,15,1.1,1,1.1,0.6
2019,Jawa Timur,Kab. Trenggalek,,,,,,,
2019,Jawa Timur,Kab. Tulungagung,51.39,0.16,16.82,7.96,4.08,12.81,0.56
2019,Jawa Timur,Kab. Blitar,,,,,,,
2019,Jawa Timur,Kab. Kediri,,,,,,,
2019,Jawa Timur,Kab. Malang,886.37,19.06,118.55,25.7,29.47,19.94,8.86
2019,Jawa Timur,Kab. Lumajang,175.12,0.53,129.6,4.75,142.66,17.45,30.24
2019,Jawa Timur,Kab. Banyuwangi,19511.24,0.02,5.55,0.01,0.01,,
2019,Jawa Timur,Kab. Bondowoso,19.44,3.25,14.61,0.61,4.22,1.36,
2019,Jawa Timur,Kab. Situbondo,23.55,1.02,2.52,15.02,16.2,42.88,16.99
2019,Jawa Timur,Kab. Probolinggo,15.5,0.9,12.5,4.7,3,4.3,2.2
2019,Jawa Timur,Kab. Pasuruan,,,,,,,
2019,Jawa Timur,Kab. Sidoarjo,99999.99,4467.3,62542.7,31271.4,8934.7,44673.4,99999.99
2019,Jawa Timur,Kab. Nganjuk,,,,,,,
2019,Jawa Timur,Kab. Madiun,,,,,,,
2019,Jawa Timur,Kab. Ngawi,44.57,3.55,7.5,5.1,6.1,5.32,5.5
2019,Jawa Timur,Kab. Bojonegoro,,,2.47,0.01,0.45,,
2019,Jawa Timur,Kab. Tuban,380.75,16.4,30.45,19.9,12.85,11.7,18.74
2019,Jawa Timur,Kab. Gresik,,,,,,,
2019,Jawa Timur,Kab. Sampang,99999.99,10172.8,30518.3,20345.5,6103.7,,14241.9
2019,Jawa Timur,Kab. Pamekasan,,,,,,,
2019,Jawa Timur,Kab. Sumenep,360.2,0.61,5.4,1.15,39.01,19.08,24.84
2019,Jawa Timur,Kota Kediri,40635.23,16254.09,39280.73,8127.05,9481.55,14899.59,6772.54
2019,Jawa Timur,Kota Blitar,63.8,0.7,2.1,1.4,1.1,0.4,1.4
2019,Jawa Timur,Kota Malang,,,,,0.7,,
2019,Jawa Timur,Kota Probolinggo,41.5,0.6,11.5,2.9,1.3,1.5,0.6
2019,Jawa Timur,Kota Pasuruan,76.1,0.7,19.7,1.3,16.4,6.6,10.5
2019,Jawa Timur,Kota Mojokerto,77.5,4.5,7.5,3.9,2.1,4.5,
2019,Jawa Timur,Kota Madiun,85.84,5.16,9.41,4.78,4.61,3.17,2.03
2019,Jawa Timur,Kota Surabaya,,,,,,,
2019,Jawa Timur,Kota Batu,77.29,3.33,2,3.69,1.54,17.8,18.6
2019,Banten,Kab. Pandeglang,,,,,,,
2019,Banten,Kab. Lebak,1.32,117.79,7.89,49.46,131.97,129.13,68.12
2019,Banten,Kab. Tangerang,1900,6.7,220,40.57,25,325,
2019,Banten,Kota Tangerang,962.05,56.68,46.2,213.2,305.53,,
2019,Banten,Kota Cilegon,,,,,,,
2019,Banten,Kota Tangerang Selatan,904.9,8.6,0.1,32.4,26.7,,
2019,Bali,Kab. Jembrana,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2019,Bali,Kab. Badung,,24.28,25.4,558.6,,,
2019,Bali,Kab. Gianyar,390.9,4.52,15.84,,7.03,48,2.03
2019,Bali,Kab. Bangli,93.21,0.27,5.94,0.63,3.67,,0.54
2019,Bali,Kab. Karangasem,,,,,,,
2019,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.58,0.39
2019,Bali,Kota Denpasar,,,,,,,
2019,Nusa Tenggara Barat,Kab. Lombok Timur,25,0.15,15,3,31.42,0.47,20
2019,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,
2019,Kalimantan Barat,Kab. Sambas,233.1,0.9,37.6,,,,
2019,Kalimantan Barat,Kab. Mempawah,3.83,8.08,26.73,8.38,8.52,11.11,2.57
2019,Kalimantan Barat,Kab. Sanggau,226.66,0.26,0.16,8.03,,,
2019,Kalimantan Barat,Kab. Ketapang,41,6,20,15,5,8,5
2019,Kalimantan Barat,Kab. Bengkayang,,,,,,,
2019,Kalimantan Barat,Kota Pontianak,99276.9,444.5,26767.4,11126.46,1083.48,,208.36
2019,Kalimantan Tengah,Kab. Kotawaringin Barat,10.82,6.82,10.52,7.3,6.28,4.93,4.29
2019,Kalimantan Tengah,Kab. Kotawaringin Timur,,,,,,,
